iter	Passed	Remaining
0	1	109
1	8	414
2	15	507
3	23	559
4	30	586
5	38	605
6	40	544
7	48	559
8	56	570
9	64	577
10	71	578
11	79	579
12	86	578
13	94	581
14	102	578
15	109	576
16	117	573
17	125	570
18	132	565
19	140	561
20	148	556
21	155	552
22	159	535
23	167	530
24	175	525
25	182	520
26	190	514
27	198	510
28	206	504
29	214	499
30	221	493
31	229	488
32	237	481
33	245	475
34	252	469
35	260	462
36	267	456
37	275	449
38	283	442
39	290	435
40	298	428
41	305	421
42	312	414
43	320	408
44	328	401
45	335	394
46	343	386
47	350	380
48	358	372
49	366	366
50	373	359
51	381	352
52	389	345
53	396	338
54	404	331
55	412	323
56	419	316
57	427	309
58	434	302
59	442	294
60	449	287
61	457	280
62	464	272
63	471	265
64	479	258
65	487	250
66	488	240
67	495	233
68	503	226
69	511	219
70	518	211
71	526	204
72	533	197
73	541	190
74	549	183
75	556	175
76	564	168
77	571	161
78	579	153
79	586	146
80	594	139
81	602	132
82	609	124
83	617	117
84	620	109
85	627	102
86	635	94
87	643	87
88	650	80
89	658	73
90	666	65
91	673	58
92	681	51
93	688	43
94	696	36
95	704	29
96	713	22
97	721	14
98	729	7
99	737	0
